name,gender,voice_languages,voicebank_types,voice_characteristics,vb_release_date,vb_last_update,creator_name,cover,
KAZUKI HIRAGI,MALE,JAPANESE,VCV,,"December 17, 2009",,Sangyou,http://www.victorviale.com/imagesutau/Kazuki_Hiragi.jpg,BIEN
LARU MINE,MALE,JAPANESE,VCV,,"August 08, 2010",,Minato,http://www.victorviale.com/imagesutau/Mine_Raru.jpg,PAS BIEN
ITO SHIRATAKI,FEMALE,JAPANESE,VCV,,"July 4, 2010",,Project E-ito,http://www.victorviale.com/imagesutau/Ito_shirataki.jpg,BIEN
MATSUDAPPOIYO,MALE,JAPANESE,VCV,,"March 20, 2009",,Matsuda Mattsun,http://www.victorviale.com/imagesutau/Matsudappoiyo.jpg,PAS BIEN
MATSUDAPPOINE,FEMALE,JAPANESE,CV/VCV,,"June 28, 2010",,Matsuda Mattsun,http://www.victorviale.com/imagesutau/Matsudappoine.jpg,PAS BIEN
BENI SACHINE,FEMALE,JAPANESE,VCV,,"July 14, 2009",,Chiaki,http://www.victorviale.com/imagesutau/Beni_Sachine.jpg,PAS BIEN
NENE NENE,FEMALE,JAPANESE,VCV,,"December 22, 2009",,Jousaibou-P,http://www.victorviale.com/imagesutau/Nene_Nene.jpg,PAS BIEN
MOMOTARO MOMONE,MALE,JAPANESE,VCV,,"November 22, 2010",,Sakururi,http://www.victorviale.com/imagesutau/Momotaro_Momone.jpg,PAS BIEN
YAMI TSUKIKO,FEMALE,JAPANESE,CV/VCV,,"March 15, 2011",,nyappyxmine,http://www.victorviale.com/imagesutau/TSUKIKO_YAMI.jpg,BIEN
KARASU AKABANE,MALE,JAPANESE,Other,,"July 20, 2009",,chiry@Machinegun-P,http://www.victorviale.com/imagesutau/Karasu_Akabane.jpg,BIEN
YURAGI YUUGA,FEMALE,JAPANESE,VCV,,"June 27, 2010",,Yuumu Amamiya,http://www.victorviale.com/imagesutau/Yuuga_Yuragi.jpg,PAS BIEN
YUKINA MISUMI,FEMALE,JAPANESE,VCV,,,,Kuri-Chan,http://www.victorviale.com/imagesutau/Yukina_Misumi.jpg,BIEN
CHERRY FUUMA,FEMALE,JAPANESE,VCV,,"June, 2011",,CherryRox,http://www.victorviale.com/imagesutau/Cherry_Fuuma.jpg,BIEN
RIMA KAMIN,FEMALE,JAPANESE,VCV,,"July 10, 2011",,DivaRima442,http://www.victorviale.com/imagesutau/Rima_Kamin.jpg,BIEN
TEI SUKONE,FEMALE,JAPANESE,CV/VCV,WHISPER,"June 21, 2010",,Futaba Kako,http://www.victorviale.com/imagesutau/Tei_Sukone.jpg,PAS BIEN
